User_ID;Group;TryCount;AmountRightGestures;TimeNeeded;Activ_Gesture_ID;Likeliehood_CP_Gesture_ID_1;Likeliehood_MC_Gesture_ID_1;Alignment_Gesture_ID_1;Likeliehood_CP_Gesture_ID_2;Likeliehood_MC_Gesture_ID_2;Alignment_Gesture_ID_2;Likeliehood_CP_Gesture_ID_3;Likeliehood_MC_Gesture_ID_3;Alignment_Gesture_ID_3;Likeliehood_CP_Gesture_ID_4;Likeliehood_MC_Gesture_ID_4;Alignment_Gesture_ID_4;Likeliehood_CP_Gesture_ID_5;Likeliehood_MC_Gesture_ID_5;Alignment_Gesture_ID_5;Likeliehood_CP_Gesture_ID_6;Likeliehood_MC_Gesture_ID_6;Alignment_Gesture_ID_6
24.0;CP;1.0;0.0;0.100558;1.0;0.0;1.0;0.108767;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
24.0;CP;2.0;1.0;2.043963;1.0;0.938949;1.0;0.993685;0.931946;0.0;0.0;-0.238954;0.0;0.0;-0.036941;0.0;0.0;0.895735;0.0;0.0;0.379865;0.0;0.0;
24.0;CP;3.0;2.0;1.754164;1.0;0.932047;1.0;0.960408;0.846809;0.0;0.0;-0.359566;0.0;0.0;0.005454;0.0;0.0;0.864735;0.0;0.0;0.411454;0.0;0.0;
24.0;CP;4.0;3.0;1.709396;1.0;0.894235;1.0;0.96671;0.822938;0.0;0.0;-0.437812;0.0;0.0;0.018729;0.0;0.0;0.82266;0.0;0.0;0.334769;0.0;0.0;
24.0;CP;1.0;1.0;1.631184;2.0;0.924946;0.0;0.0;0.967067;0.0;0.0;-0.262519;0.0;0.0;0.114543;0.0;0.0;0.904955;1.000001;0.012184;0.328774;0.0;0.0;
24.0;CP;2.0;2.0;1.541744;2.0;0.788521;0.0;0.0;0.868138;0.0;0.0;-0.05544;0.0;0.0;0.074323;0.0;0.0;0.792727;0.999991;0.025349;0.287549;0.0;0.0;
24.0;CP;3.0;3.0;1.765239;2.0;0.928699;0.0;0.0;0.971715;0.0;0.0;-0.380035;0.0;0.0;0.119305;0.0;0.0;0.913932;1.0;0.016313;0.297413;0.0;0.0;
24.0;CP;1.0;0.0;4.937631;3.0;-0.504319;1.000001;0.505946;-0.578265;0.0;0.0;0.544748;0.0;0.0;0.118048;0.0;0.0;-0.581476;0.0;0.0;0.299052;0.0;0.0;
24.0;CP;2.0;0.0;4.49047;3.0;-0.409334;0.0;0.0;-0.440744;0.0;0.0;0.557948;0.0;0.0;0.177133;0.0;0.0;-0.385746;0.999991;0.339083;0.186647;0.0;0.0;
24.0;CP;3.0;0.0;5.104573;3.0;-0.388252;0.999991;0.548443;-0.407075;0.0;0.0;0.552282;0.0;0.0;0.06345;0.0;0.0;-0.406974;0.0;0.0;0.223421;0.0;0.0;
24.0;CP;4.0;0.0;4.512683;3.0;-0.210752;1.000002;0.506533;-0.22034;0.0;0.0;0.360884;0.0;0.0;0.059551;0.0;0.0;-0.212354;0.0;0.0;0.1898;0.0;0.0;
24.0;CP;5.0;0.0;6.110318;3.0;-0.449306;0.0;0.0;-0.517697;0.0;0.0;0.489289;0.0;0.0;0.067518;0.0;0.0;-0.520855;0.999991;0.790842;0.340566;0.0;0.0;
24.0;CP;6.0;0.0;6.667851;3.0;-0.468031;0.0;0.0;-0.506112;0.0;0.0;0.704584;0.0;0.0;0.005569;0.0;0.0;-0.48207;0.999998;0.214008;0.127035;0.0;0.0;
24.0;CP;1.0;1.0;4.468356;4.0;0.086089;0.0;0.0;0.125447;0.0;0.0;-0.196226;0.0;0.0;0.853891;0.999999;0.381075;0.148061;0.0;0.0;0.47109;0.0;0.0;
24.0;CP;2.0;1.0;2.781955;4.0;-0.04463;0.0;0.0;0.031367;0.0;0.0;-0.566575;0.0;0.0;0.112276;0.999991;0.989153;-0.163643;0.0;0.0;-0.133793;0.0;0.0;
24.0;CP;3.0;1.0;3.954345;4.0;0.130417;0.0;0.0;0.132343;0.0;0.0;-0.260162;0.0;0.0;0.741328;0.999999;0.002585;0.260244;0.0;0.0;0.471437;0.0;0.0;
24.0;CP;4.0;2.0;4.356604;4.0;0.172379;0.0;0.0;0.18465;0.0;0.0;-0.209357;0.0;0.0;0.858447;0.999999;0.412211;0.215563;0.0;0.0;0.498678;0.0;0.0;
24.0;CP;5.0;3.0;4.267307;4.0;0.109174;0.0;0.0;0.150731;0.0;0.0;-0.183449;0.0;0.0;0.888795;1.0;0.006153;0.253035;0.0;0.0;0.269364;0.0;0.0;
24.0;CP;1.0;0.0;1.910739;5.0;0.600882;0.0;0.0;0.621607;0.0;0.0;-0.416486;0.0;0.0;0.234587;0.0;0.0;0.712465;1.0;0.224507;0.250917;0.0;0.0;
24.0;CP;2.0;0.0;2.356886;5.0;0.632114;0.0;0.0;0.658405;0.0;0.0;-0.288413;0.0;0.0;0.281637;0.0;0.0;0.723102;1.000001;0.202349;0.422417;0.0;0.0;
24.0;CP;3.0;0.0;2.01091;5.0;0.602256;0.0;0.0;0.710906;1.0;0.419991;-0.460794;0.0;0.0;0.171325;0.0;0.0;0.678394;0.0;0.0;0.051757;0.0;0.0;
24.0;CP;4.0;0.0;1.687129;5.0;0.683842;0.0;0.0;0.655696;0.0;0.0;-0.2245;0.0;0.0;0.133952;0.0;0.0;0.765438;0.999995;0.142131;0.369113;0.0;0.0;
24.0;CP;5.0;1.0;1.642369;5.0;0.794165;0.0;0.0;0.781103;0.0;0.0;-0.246249;0.0;0.0;0.131508;0.0;0.0;0.842904;1.000001;0.142711;0.524213;0.0;0.0;
24.0;CP;6.0;1.0;1.42992;5.0;0.654402;0.0;0.0;0.651325;0.0;0.0;-0.22514;0.0;0.0;0.103896;0.0;0.0;0.73159;0.999991;0.47964;0.370914;0.0;0.0;
24.0;CP;1.0;0.0;4.971054;6.0;0.682232;0.0;0.0;0.595857;0.0;0.0;0.094887;0.0;0.0;0.123063;0.0;0.0;0.511603;0.0;0.0;0.726641;1.0;0.005676;
24.0;CP;2.0;1.0;5.920579;6.0;0.573293;0.0;0.0;0.417414;0.0;0.0;-0.043647;0.0;0.0;0.216594;0.0;0.0;0.392961;0.0;0.0;0.865027;1.0;0.008313;
24.0;CP;3.0;2.0;6.16597;6.0;0.495643;0.0;0.0;0.376627;1.0;0.715512;-0.018368;0.0;0.0;0.310813;0.0;0.0;0.327735;0.0;0.0;0.918514;0.0;0.0;
24.0;CP;4.0;3.0;5.718851;6.0;0.56265;0.0;0.0;0.433371;1.000005;0.721391;-0.169531;0.0;0.0;0.347072;0.0;0.0;0.424101;0.0;0.0;0.888555;0.0;0.0;
