User_ID;Group;TryCount;AmountRightGestures;TimeNeeded;Activ_Gesture_ID;Likeliehood_CP_Gesture_ID_1;Likeliehood_MC_Gesture_ID_1;Alignment_Gesture_ID_1;Likeliehood_CP_Gesture_ID_2;Likeliehood_MC_Gesture_ID_2;Alignment_Gesture_ID_2;Likeliehood_CP_Gesture_ID_3;Likeliehood_MC_Gesture_ID_3;Alignment_Gesture_ID_3;Likeliehood_CP_Gesture_ID_4;Likeliehood_MC_Gesture_ID_4;Alignment_Gesture_ID_4;Likeliehood_CP_Gesture_ID_5;Likeliehood_MC_Gesture_ID_5;Alignment_Gesture_ID_5;Likeliehood_CP_Gesture_ID_6;Likeliehood_MC_Gesture_ID_6;Alignment_Gesture_ID_6
2.0;MC;1.0;0.0;2.267743;1.0;0.7188;1.0;0.39182;0.676103;0.0;0.0;-0.238319;0.0;0.0;0.075149;0.0;0.0;0.725505;0.0;0.0;0.349486;0.0;0.0;
2.0;MC;2.0;0.0;3.172401;1.0;0.843198;0.999999;0.342836;0.803747;0.0;0.0;-0.232006;0.0;0.0;0.019862;0.0;0.0;0.812922;0.0;0.0;0.395488;0.0;0.0;
2.0;MC;3.0;0.0;3.78687;1.0;-9999999.0;0.4232;1.0;-999999.0;0.470941;1.0;-99999.0;0.189774;1.0;-99999.0;-0.101194;1.0;-9999.0;0.508013;1.0;-9999.0;0.183214;1.0;
2.0;MC;4.0;0.0;3.407432;1.0;-9999999.0;0.958313;1.0;-999999.0;0.913498;1.0;-99999.0;-0.297799;1.0;-99999.0;0.017484;1.0;-9999.0;0.940359;1.0;-9999.0;0.42052;1.0;
2.0;MC;5.0;0.0;2.949003;1.0;-9999999.0;0.891301;1.0;-999999.0;0.859334;1.0;-99999.0;-0.247909;1.0;-99999.0;0.039303;1.0;-9999.0;0.900623;1.0;-9999.0;0.399093;1.0;
2.0;MC;6.0;0.0;1.206524;1.0;-9999999.0;0.508502;1.0;-999999.0;0.422081;1.0;-99999.0;0.258511;1.0;-99999.0;-0.101074;1.0;-9999.0;0.3824;1.0;-9999.0;0.425638;1.0;
2.0;MC;1.0;0.0;2.926886;2.0;-9999999.0;0.89168;1.0;-999999.0;0.932083;1.0;-99999.0;-0.341809;1.0;-99999.0;0.121478;1.0;-9999.0;0.867252;1.0;-9999.0;0.319108;1.0;
2.0;MC;2.0;0.0;2.53565;2.0;-9999999.0;0.852641;1.0;-999999.0;0.88223;1.0;-99999.0;-0.304627;1.0;-99999.0;0.101529;1.0;-9999.0;0.83578;1.0;-9999.0;0.335986;1.0;
2.0;MC;3.0;0.0;2.088983;2.0;-9999999.0;0.405088;1.0;-999999.0;0.404054;1.0;-99999.0;-0.656132;1.0;-99999.0;0.000877;1.0;-9999.0;0.355976;1.0;-9999.0;-0.065906;1.0;
2.0;MC;4.0;0.0;2.826261;2.0;-9999999.0;0.826158;1.0;-999999.0;0.899805;1.0;-99999.0;-0.273898;1.0;-99999.0;0.125141;1.0;-9999.0;0.856292;1.0;-9999.0;0.235656;1.0;
2.0;MC;5.0;1.0;3.19499;2.0;-9999999.0;0.585065;1.0;-999999.0;0.676672;1.0;-99999.0;0.024822;1.0;-99999.0;0.139362;1.0;-9999.0;0.652781;1.0;-9999.0;0.212936;1.0;
2.0;MC;6.0;1.0;3.306616;2.0;-9999999.0;0.743345;1.0;-999999.0;0.762475;1.0;-99999.0;-0.251747;1.0;-99999.0;0.163624;1.0;-9999.0;0.72847;1.0;-9999.0;0.349093;1.0;
2.0;MC;1.0;0.0;1.106021;3.0;-9999999.0;-0.201407;1.0;-999999.0;-0.196012;1.0;-99999.0;-0.197521;1.0;-99999.0;0.098901;1.0;-9999.0;-0.259209;1.0;-9999.0;-0.187524;1.0;
2.0;MC;2.0;0.0;9.047883;3.0;-9999999.0;0.106383;1.0;-999999.0;0.057435;1.0;-99999.0;0.557751;1.0;-99999.0;0.031189;1.0;-9999.0;0.042682;1.0;-9999.0;0.232541;1.0;
2.0;MC;3.0;0.0;7.416921;3.0;-9999999.0;0.149597;1.0;-999999.0;0.107161;1.0;-99999.0;0.453553;1.0;-99999.0;0.125495;1.0;-9999.0;0.110973;1.0;-9999.0;0.304118;1.0;
2.0;MC;4.0;0.0;1.139645;3.0;-9999999.0;0.627713;1.0;-999999.0;0.546761;1.0;-99999.0;-0.17079;1.0;-99999.0;0.066597;1.0;-9999.0;0.40002;1.0;-9999.0;0.668186;1.0;
2.0;MC;5.0;0.0;2.647314;3.0;-9999999.0;-0.357965;1.0;-999999.0;-0.19733;1.0;-99999.0;0.228579;1.0;-99999.0;-0.152796;1.0;-9999.0;-0.310278;1.0;-9999.0;-0.526688;1.0;
2.0;MC;6.0;0.0;0.748323;3.0;-9999999.0;-0.391989;1.0;-999999.0;-0.424113;1.0;-99999.0;0.053368;1.0;-99999.0;0.053757;1.0;-9999.0;-0.423736;1.0;-9999.0;-0.31441;1.0;
2.0;MC;1.0;0.0;0.961168;4.0;-9999999.0;0.070414;1.0;-999999.0;-0.028759;1.0;-99999.0;-0.114043;1.0;-99999.0;0.027925;1.0;-9999.0;-0.006838;1.0;-9999.0;0.486112;1.0;
2.0;MC;2.0;0.0;8.021976;4.0;-9999999.0;0.067375;1.0;-999999.0;0.128777;1.0;-99999.0;-0.103127;1.0;-99999.0;0.897409;1.0;-9999.0;0.185727;1.0;-9999.0;0.313144;1.0;
2.0;MC;3.0;0.0;9.539865;4.0;-9999999.0;-0.025654;1.0;-999999.0;0.057748;1.0;-99999.0;-0.110516;1.0;-99999.0;0.883441;1.0;-9999.0;0.027833;1.0;-9999.0;0.274716;1.0;
2.0;MC;4.0;0.0;2.011113;4.0;-9999999.0;0.0;0.0;-999999.0;0.0;0.0;-99999.0;0.0;0.0;-99999.0;0.0;0.0;-9999.0;0.0;0.0;-9999.0;0.0;0.0;
2.0;MC;5.0;0.0;9.517793;4.0;-9999999.0;0.043124;1.0;-999999.0;0.139847;1.0;-99999.0;-0.154271;1.0;-99999.0;0.910563;1.0;-9999.0;0.078807;1.0;-9999.0;0.28351;1.0;
2.0;MC;6.0;0.0;1.687048;4.0;-9999999.0;0.377495;1.0;-999999.0;0.252282;1.0;-99999.0;-0.413745;1.0;-99999.0;0.11789;1.0;-9999.0;0.178404;1.0;-9999.0;0.633519;1.0;
2.0;MC;1.0;0.0;2.212327;5.0;-9999999.0;0.415747;1.0;-999999.0;0.380437;1.0;-99999.0;-0.292747;1.0;-99999.0;-0.011269;1.0;-9999.0;0.36989;1.0;-9999.0;0.425891;1.0;
2.0;MC;2.0;0.0;0.536224;5.0;-9999999.0;0.0;0.0;-999999.0;0.0;0.0;-99999.0;0.0;0.0;-99999.0;0.0;0.0;-9999.0;0.0;0.0;-9999.0;0.0;0.0;
2.0;MC;3.0;0.0;1.139724;5.0;-9999999.0;0.36527;1.0;-999999.0;0.36361;1.0;-99999.0;0.038673;1.0;-99999.0;-0.110088;1.0;-9999.0;0.246885;1.0;-9999.0;0.296259;1.0;
2.0;MC;4.0;0.0;4.322971;5.0;-9999999.0;0.815697;1.0;-999999.0;0.848188;1.0;-99999.0;-0.191307;1.0;-99999.0;0.158006;1.0;-9999.0;0.90847;1.0;-9999.0;0.369017;1.0;
2.0;MC;5.0;0.0;4.376971;5.0;-9999999.0;0.762375;1.0;-999999.0;0.759188;1.0;-99999.0;-0.293754;1.0;-99999.0;0.036071;1.0;-9999.0;0.858805;1.0;-9999.0;0.166297;1.0;
2.0;MC;6.0;0.0;4.222626;5.0;-9999999.0;0.792432;1.0;-999999.0;0.795737;1.0;-99999.0;-0.218697;1.0;-99999.0;-0.013802;1.0;-9999.0;0.890297;1.0;-9999.0;0.208301;1.0;
2.0;MC;1.0;0.0;7.316202;6.0;-9999999.0;0.481276;1.0;-999999.0;0.362608;1.0;-99999.0;-0.143898;1.0;-99999.0;0.393301;1.0;-9999.0;0.391523;1.0;-9999.0;0.781578;1.0;
2.0;MC;2.0;0.0;6.26587;6.0;-9999999.0;0.441555;1.0;-999999.0;0.31519;1.0;-99999.0;-0.139855;1.0;-99999.0;0.389622;1.0;-9999.0;0.33267;1.0;-9999.0;0.691779;1.0;
2.0;MC;3.0;0.0;5.852581;6.0;-9999999.0;0.330648;1.0;-999999.0;0.216918;1.0;-99999.0;-0.182999;1.0;-99999.0;0.322096;1.0;-9999.0;0.249104;1.0;-9999.0;0.549953;1.0;
2.0;MC;4.0;0.0;6.109885;6.0;-9999999.0;0.4477;1.0;-999999.0;0.31795;1.0;-99999.0;-0.098617;1.0;-99999.0;0.330696;1.0;-9999.0;0.328991;1.0;-9999.0;0.864939;1.0;
2.0;MC;5.0;0.0;0.915519;6.0;-9999999.0;0.025463;1.0;-999999.0;-0.038873;1.0;-99999.0;-0.110495;1.0;-99999.0;0.08685;1.0;-9999.0;-0.10118;1.0;-9999.0;0.08925;1.0;
2.0;MC;6.0;0.0;5.741422;6.0;-9999999.0;0.377713;1.0;-999999.0;0.297227;1.0;-99999.0;0.004647;1.0;-99999.0;0.297094;1.0;-9999.0;0.297795;1.0;-9999.0;0.91706;1.0;
