User_ID;Group;TryCount;AmountRightGestures;TimeNeeded;Activ_Gesture_ID;Likeliehood_CP_Gesture_ID_1;Likeliehood_MC_Gesture_ID_1;Alignment_Gesture_ID_1;Likeliehood_CP_Gesture_ID_2;Likeliehood_MC_Gesture_ID_2;Alignment_Gesture_ID_2;Likeliehood_CP_Gesture_ID_3;Likeliehood_MC_Gesture_ID_3;Alignment_Gesture_ID_3;Likeliehood_CP_Gesture_ID_4;Likeliehood_MC_Gesture_ID_4;Alignment_Gesture_ID_4;Likeliehood_CP_Gesture_ID_5;Likeliehood_MC_Gesture_ID_5;Alignment_Gesture_ID_5;Likeliehood_CP_Gesture_ID_6;Likeliehood_MC_Gesture_ID_6;Alignment_Gesture_ID_6
11.0;CP;1.0;1.0;1.273503;1.0;0.870902;1.000008;0.990192;0.788278;0.0;0.0;-0.376038;0.0;0.0;0.003758;0.0;0.0;0.83937;0.0;0.0;0.40983;0.0;0.0;
11.0;CP;2.0;2.0;1.106132;1.0;0.900735;0.999999;0.992131;0.831148;0.0;0.0;-0.337897;0.0;0.0;-0.005946;0.0;0.0;0.870106;0.0;0.0;0.444463;0.0;0.0;
11.0;CP;3.0;3.0;1.016721;1.0;0.834445;0.0;0.0;0.736558;0.0;0.0;-0.440251;0.0;0.0;0.016338;0.0;0.0;0.801271;0.0;0.0;0.347379;1.0;0.043034;
11.0;CP;1.0;1.0;0.971844;2.0;0.801126;0.0;0.0;0.820842;0.0;0.0;-0.217415;0.0;0.0;0.08573;0.0;0.0;0.812638;0.999991;0.091817;0.367464;0.0;0.0;
11.0;CP;2.0;1.0;1.083803;2.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;1.000003;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;3.0;2.0;1.06151;2.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;0.999991;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;4.0;3.0;1.184217;2.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-888.0;1.0;-8888.0;-88888.0;
11.0;CP;1.0;0.0;3.898485;3.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;1.000001;-8888.0;-8888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;2.0;0.0;4.457057;3.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.999999;-8888.0;-8888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;3.0;0.0;4.032693;3.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;1.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;4.0;1.0;4.412173;3.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.999997;-8888.0;-8888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;5.0;2.0;4.021281;3.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.999991;-8888.0;-8888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;6.0;2.0;3.931966;3.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;1.000001;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;1.0;0.0;3.127438;4.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.999991;-8888.0;-8888.0;0.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;2.0;0.0;2.949168;4.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.999997;-8888.0;-8888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;3.0;0.0;3.909657;4.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.999999;-8888.0;-8888.0;0.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;4.0;1.0;3.89838;4.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.999997;-8888.0;-8888.0;0.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;5.0;1.0;3.697372;4.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;1.0;-8888.0;-8888.0;0.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;6.0;2.0;3.250544;4.0;1.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;1.0;1.0;1.720502;5.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;0.999999;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;2.0;1.0;1.653361;5.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;1.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;3.0;1.0;1.720409;5.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;1.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;4.0;2.0;1.597455;5.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;1.0;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;5.0;3.0;1.664672;5.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;1.000001;-8888.0;-888.0;0.0;-8888.0;-88888.0;
11.0;CP;1.0;1.0;4.121776;6.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-888.0;0.999998;-8888.0;-88888.0;
11.0;CP;2.0;2.0;4.110868;6.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-888.0;1.000007;-8888.0;-88888.0;
11.0;CP;3.0;3.0;4.724948;6.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;1.000001;-8888.0;-888.0;0.0;-8888.0;-88888.0;
