User_ID;Group;TryCount;AmountRightGestures;TimeNeeded;Activ_Gesture_ID;Likeliehood_CP_Gesture_ID_1;Likeliehood_MC_Gesture_ID_1;Alignment_Gesture_ID_1;Likeliehood_CP_Gesture_ID_2;Likeliehood_MC_Gesture_ID_2;Alignment_Gesture_ID_2;Likeliehood_CP_Gesture_ID_3;Likeliehood_MC_Gesture_ID_3;Alignment_Gesture_ID_3;Likeliehood_CP_Gesture_ID_4;Likeliehood_MC_Gesture_ID_4;Alignment_Gesture_ID_4;Likeliehood_CP_Gesture_ID_5;Likeliehood_MC_Gesture_ID_5;Alignment_Gesture_ID_5;Likeliehood_CP_Gesture_ID_6;Likeliehood_MC_Gesture_ID_6;Alignment_Gesture_ID_6
17.0;CP;1.0;1.0;2.068204;1.0;0.960704;1.000002;0.995324;0.893227;0.0;0.0;-0.397951;0.0;0.0;-0.004088;0.0;0.0;0.908486;0.0;0.0;0.433415;0.0;0.0;
17.0;CP;2.0;2.0;1.832323;1.0;0.969117;1.0;0.988769;0.916467;0.0;0.0;-0.359134;0.0;0.0;0.003859;0.0;0.0;0.927292;0.0;0.0;0.442714;0.0;0.0;
17.0;CP;3.0;3.0;1.738817;1.0;0.96965;1.000001;0.968913;0.921959;0.0;0.0;-0.372329;0.0;0.0;-0.010009;0.0;0.0;0.922771;0.0;0.0;0.428798;0.0;0.0;
17.0;CP;1.0;1.0;2.089236;2.0;0.893128;0.0;0.0;0.931113;0.0;0.0;-0.249192;0.0;0.0;0.097597;0.0;0.0;0.909987;0.999999;0.995667;0.361615;0.0;0.0;
17.0;CP;2.0;2.0;1.495896;2.0;0.913736;0.0;0.0;0.951444;0.0;0.0;-0.284594;0.0;0.0;0.097717;0.0;0.0;0.923261;1.000008;0.902918;0.341841;0.0;0.0;
17.0;CP;3.0;3.0;1.665231;2.0;0.882721;0.0;0.0;0.924368;0.0;0.0;-0.288446;0.0;0.0;0.10831;0.0;0.0;0.903022;1.0;0.987835;0.305659;0.0;0.0;
17.0;CP;1.0;0.0;5.771714;3.0;-0.476249;0.0;0.0;-0.539282;0.0;0.0;0.736965;0.999991;0.993088;-0.127746;0.0;0.0;-0.508166;0.0;0.0;0.055872;0.0;0.0;
17.0;CP;2.0;0.0;5.79779;3.0;-0.412421;0.0;0.0;-0.467616;0.0;0.0;0.736758;0.999991;0.003037;-0.080226;0.0;0.0;-0.40552;0.0;0.0;0.044039;0.0;0.0;
17.0;CP;3.0;1.0;7.162396;3.0;-0.370271;0.0;0.0;-0.395537;0.0;0.0;0.928157;0.0;0.0;-0.168596;0.0;0.0;-0.332071;0.999991;0.989019;-0.077632;0.0;0.0;
17.0;CP;4.0;2.0;6.558848;3.0;-0.362559;0.0;0.0;-0.397195;0.0;0.0;0.937748;1.0;0.006267;-0.182023;0.0;0.0;-0.335168;0.0;0.0;-0.08934;0.0;0.0;
17.0;CP;5.0;3.0;6.77956;3.0;-0.348479;0.0;0.0;-0.364556;0.0;0.0;0.965277;1.0;0.985266;-0.176128;0.0;0.0;-0.301377;0.0;0.0;-0.085008;0.0;0.0;
17.0;CP;1.0;1.0;3.663184;4.0;0.083934;0.0;0.0;0.150222;0.0;0.0;-0.166637;0.0;0.0;0.842287;1.000001;0.003591;0.246041;0.0;0.0;0.35657;0.0;0.0;
17.0;CP;2.0;2.0;3.642388;4.0;0.132404;0.0;0.0;0.185546;0.0;0.0;-0.107622;0.0;0.0;0.847668;1.000002;0.997594;0.293514;0.0;0.0;0.387531;0.0;0.0;
17.0;CP;3.0;3.0;1.876818;4.0;0.075279;0.0;0.0;0.147124;0.0;0.0;-0.139059;0.0;0.0;0.842815;1.000014;0.423015;0.145186;0.0;0.0;0.439722;0.0;0.0;
17.0;CP;1.0;0.0;0.793599;5.0;0.612069;0.0;0.0;0.59787;0.0;0.0;-0.296646;0.0;0.0;-0.074269;0.0;0.0;0.709852;0.999991;0.518443;0.109498;0.0;0.0;
17.0;CP;2.0;0.0;1.028312;5.0;0.66615;0.0;0.0;0.60979;0.0;0.0;-0.212114;0.0;0.0;0.047398;0.0;0.0;0.788752;0.999991;0.626646;0.287096;0.0;0.0;
17.0;CP;3.0;1.0;1.543602;5.0;0.758149;0.0;0.0;0.708082;0.0;0.0;-0.185608;0.0;0.0;0.05558;0.0;0.0;0.860706;1.0;0.996397;0.350089;0.0;0.0;
17.0;CP;4.0;2.0;1.418533;5.0;0.798524;0.0;0.0;0.773705;0.0;0.0;-0.26904;0.0;0.0;0.080652;0.0;0.0;0.916687;1.0;0.996475;0.307464;0.0;0.0;
17.0;CP;5.0;3.0;1.328452;5.0;0.78689;0.0;0.0;0.731579;0.0;0.0;-0.246425;0.0;0.0;0.01565;0.0;0.0;0.872374;1.0;0.994406;0.339736;0.0;0.0;
17.0;CP;1.0;0.0;2.111063;6.0;-0.357414;0.0;0.0;-0.422381;0.0;0.0;-0.335488;0.0;0.0;-0.028497;0.0;0.0;-0.449859;0.0;0.0;-0.221608;0.999991;0.333387;
17.0;CP;2.0;1.0;4.872786;6.0;0.480025;0.0;0.0;0.372926;0.0;0.0;-0.070519;0.0;0.0;0.411823;0.0;0.0;0.385277;0.0;0.0;0.913575;0.999997;0.994856;
17.0;CP;3.0;2.0;4.491307;6.0;0.503548;0.0;0.0;0.405115;0.0;0.0;0.045881;0.0;0.0;0.320771;0.0;0.0;0.384471;0.0;0.0;0.878174;0.999991;0.536831;
17.0;CP;4.0;3.0;3.954744;6.0;0.506184;0.0;0.0;0.404859;0.0;0.0;-0.060792;0.0;0.0;0.393227;0.0;0.0;0.413781;0.0;0.0;0.900291;1.0;0.632039;
