User_ID;Group;TryCount;AmountRightGestures;TimeNeeded;Activ_Gesture_ID;Likeliehood_CP_Gesture_ID_1;Likeliehood_MC_Gesture_ID_1;Alignment_Gesture_ID_1;Likeliehood_CP_Gesture_ID_2;Likeliehood_MC_Gesture_ID_2;Alignment_Gesture_ID_2;Likeliehood_CP_Gesture_ID_3;Likeliehood_MC_Gesture_ID_3;Alignment_Gesture_ID_3;Likeliehood_CP_Gesture_ID_4;Likeliehood_MC_Gesture_ID_4;Alignment_Gesture_ID_4;Likeliehood_CP_Gesture_ID_5;Likeliehood_MC_Gesture_ID_5;Alignment_Gesture_ID_5;Likeliehood_CP_Gesture_ID_6;Likeliehood_MC_Gesture_ID_6;Alignment_Gesture_ID_6
10.0;CP;1.0;1.0;1.720082;1.0;0.948896;1.0;0.920323;0.882587;0.0;0.0;-0.343967;0.0;0.0;0.012903;0.0;0.0;0.884009;0.0;0.0;0.49587;0.0;0.0;
10.0;CP;2.0;2.0;1.317696;1.0;0.924108;0.0;0.0;0.877645;0.0;0.0;-0.269536;0.0;0.0;0.021673;0.0;0.0;0.846615;1.0;0.032965;0.529489;0.0;0.0;
10.0;CP;3.0;3.0;1.329592;1.0;0.911964;0.0;0.0;0.824928;0.0;0.0;-0.385819;0.0;0.0;0.017098;0.0;0.0;0.838301;1.0;0.074221;0.532105;0.0;0.0;
10.0;CP;1.0;1.0;1.64215;2.0;0.781014;0.0;0.0;0.802553;0.0;0.0;-0.327575;0.0;0.0;0.118629;0.0;0.0;0.792537;1.000002;0.101397;0.329394;0.0;0.0;
10.0;CP;2.0;2.0;1.619777;2.0;0.816268;0.0;0.0;0.840529;0.0;0.0;-0.260588;0.0;0.0;0.107588;0.0;0.0;0.830202;0.999999;0.083398;0.355947;0.0;0.0;
10.0;CP;3.0;3.0;1.563794;2.0;0.807567;0.0;0.0;0.832123;0.0;0.0;-0.258345;0.0;0.0;0.089524;0.0;0.0;0.81637;0.999999;0.096734;0.348543;0.0;0.0;
10.0;CP;1.0;0.0;4.847944;3.0;-0.248883;0.0;0.0;-0.239246;0.0;0.0;0.790577;1.000002;0.990761;-0.104079;0.0;0.0;-0.248184;0.0;0.0;-0.054149;0.0;0.0;
10.0;CP;2.0;1.0;4.770067;3.0;-0.240658;0.0;0.0;-0.229345;0.0;0.0;0.855114;0.999999;0.844139;-0.16655;0.0;0.0;-0.19946;0.0;0.0;-0.147231;0.0;0.0;
10.0;CP;3.0;2.0;4.178033;3.0;-0.42116;0.0;0.0;-0.416665;0.0;0.0;0.806171;0.0;0.0;-0.076414;0.0;0.0;-0.402578;1.000001;0.650015;-0.049787;0.0;0.0;
10.0;CP;4.0;2.0;4.144511;3.0;-0.268859;0.0;0.0;-0.235347;0.0;0.0;0.759517;0.0;0.0;-0.102444;0.0;0.0;-0.216089;0.999991;0.549352;-0.125042;0.0;0.0;
10.0;CP;5.0;3.0;4.758942;3.0;-0.23746;0.0;0.0;-0.233252;0.0;0.0;0.925968;0.0;0.0;-0.13082;0.0;0.0;-0.232267;1.0;0.995262;-0.034788;0.0;0.0;
10.0;CP;1.0;0.0;4.758373;4.0;0.115122;0.0;0.0;0.110321;0.0;0.0;-0.07993;0.0;0.0;0.083663;1.0;0.225778;0.025568;0.0;0.0;0.403454;0.0;0.0;
