User_ID,Group,TryCount,AmountRightGestures,TimeNeeded,Activ_Gesture_ID,Likeliehood_CP_Gesture_ID_1,Likeliehood_MC_Gesture_ID_1,Alignment_Gesture_ID_1,Likeliehood_CP_Gesture_ID_2,Likeliehood_MC_Gesture_ID_2,Alignment_Gesture_ID_2,Likeliehood_CP_Gesture_ID_3,Likeliehood_MC_Gesture_ID_3,Alignment_Gesture_ID_3,Likeliehood_CP_Gesture_ID_4,Likeliehood_MC_Gesture_ID_4,Alignment_Gesture_ID_4,Likeliehood_CP_Gesture_ID_5,Likeliehood_MC_Gesture_ID_5,Alignment_Gesture_ID_5,Likeliehood_CP_Gesture_ID_6,Likeliehood_MC_Gesture_ID_6,Alignment_Gesture_ID_6
22.0,MC,1.0,1.0,3.229909,1.0,0.750338,1.0,0.992187,0.773821,0.0,0.0,-0.010308,0.0,0.0,-0.035427,0.0,0.0,0.725454,0.0,0.0,0.29602,0.0,0.0
22.0,MC,2.0,2.0,3.451338,1.0,0.781452,0.999992,0.994344,0.806859,0.0,0.0,-0.06326,0.0,0.0,-0.037139,0.0,0.0,0.770901,0.0,0.0,0.289503,0.0,0.0
22.0,MC,3.0,3.0,2.650656,1.0,0.856411,1.000001,0.994274,0.865447,0.0,0.0,-0.106574,0.0,0.0,-0.032139,0.0,0.0,0.835459,0.0,0.0,0.346342,0.0,0.0
22.0,MC,1.0,0.0,2.814618,2.0,0.844905,0.0,0.0,0.866948,0.0,0.0,-0.175043,0.0,0.0,0.010744,0.0,0.0,0.848008,0.999999,0.026871,0.291338,0.0,0.0
22.0,MC,2.0,0.0,4.848046,2.0,0.65825,0.0,0.0,0.67146,0.0,0.0,-0.226039,0.0,0.0,-0.140127,0.0,0.0,0.662712,1.000003,0.036977,0.056255,0.0,0.0
22.0,MC,3.0,0.0,2.560251,2.0,0.743558,0.0,0.0,0.803001,0.0,0.0,0.01061,0.0,0.0,0.003222,0.0,0.0,0.772273,1.000002,0.036797,0.212107,0.0,0.0
22.0,MC,4.0,0.0,2.591022,2.0,0.784626,0.0,0.0,0.849958,0.0,0.0,-0.111999,0.0,0.0,0.065386,0.0,0.0,0.827611,0.999991,0.024473,0.198638,0.0,0.0
22.0,MC,5.0,0.0,2.56993,2.0,0.784275,0.0,0.0,0.857518,0.0,0.0,-0.112531,0.0,0.0,0.051241,0.0,0.0,0.830764,1.0,0.041702,0.196418,0.0,0.0
22.0,MC,6.0,0.0,2.791529,2.0,0.763402,0.0,0.0,0.836502,0.0,0.0,-0.063878,0.0,0.0,0.035738,0.0,0.0,0.807245,1.0,0.038382,0.189133,0.0,0.0
22.0,MC,1.0,1.0,6.992791,3.0,-0.281654,0.0,0.0,-0.321789,0.0,0.0,0.642836,0.999991,0.997362,-0.074608,0.0,0.0,-0.34165,0.0,0.0,0.188662,0.0,0.0
22.0,MC,2.0,1.0,9.189926,3.0,-0.208928,0.0,0.0,-0.245981,0.0,0.0,0.633402,1.000001,0.019069,-0.062334,0.0,0.0,-0.285376,0.0,0.0,0.118793,0.0,0.0
22.0,MC,3.0,2.0,4.617122,3.0,-0.416979,0.0,0.0,-0.491608,0.0,0.0,0.761886,0.999991,0.99869,0.059488,0.0,0.0,-0.432197,0.0,0.0,0.272057,0.0,0.0
22.0,MC,4.0,3.0,6.09971,3.0,-0.378132,0.0,0.0,-0.411319,0.0,0.0,0.729384,1.0,0.99452,-0.023825,0.0,0.0,-0.400476,0.0,0.0,0.215778,0.0,0.0
22.0,MC,1.0,0.0,4.713877,4.0,0.282185,-0.35489,1.0,0.217803,-0.380847,1.0,-0.44811,0.729319,1.0,0.186593,0.001679,1.0,0.135153,-0.408974,1.0,0.5615,0.188923,1.0
22.0,MC,2.0,1.0,10.020094,4.0,-0.084269,0.0,0.0,-0.042375,0.0,0.0,0.115399,0.0,0.0,0.05234,0.999993,0.997559,-0.1636,0.0,0.0,0.005919,0.0,0.0
22.0,MC,3.0,1.0,4.814454,4.0,0.073019,0.0,0.0,0.053674,0.0,0.0,-0.061684,0.0,0.0,0.495196,0.999998,0.592861,0.296616,0.0,0.0,0.262245,0.0,0.0
22.0,MC,4.0,2.0,4.993231,4.0,0.062194,0.0,0.0,0.044803,0.0,0.0,-0.025675,0.0,0.0,0.6493,1.000007,0.99702,0.265361,0.0,0.0,0.3526,0.0,0.0
22.0,MC,5.0,3.0,7.360426,4.0,-0.145125,0.0,0.0,-0.188866,0.0,0.0,0.070105,0.0,0.0,-0.027042,1.0,0.997048,-0.206861,0.0,0.0,0.127737,0.0,0.0
22.0,MC,1.0,0.0,1.858455,5.0,0.730149,0.0,0.0,0.689452,0.0,0.0,-0.28125,0.0,0.0,0.056713,0.0,0.0,0.781589,1.0,0.943572,0.328156,0.0,0.0
22.0,MC,2.0,0.0,2.806045,5.0,0.783557,0.0,0.0,0.727443,0.0,0.0,-0.25375,0.0,0.0,0.045295,0.0,0.0,0.824344,0.999999,0.935783,0.39001,0.0,0.0
22.0,MC,3.0,1.0,3.44148,5.0,0.664874,0.0,0.0,0.650195,0.0,0.0,-0.144448,0.0,0.0,0.033636,0.0,0.0,0.736402,0.999999,0.997581,0.312627,0.0,0.0
22.0,MC,4.0,2.0,3.420118,5.0,0.660303,0.0,0.0,0.682518,0.0,0.0,-0.16472,0.0,0.0,-0.109113,0.0,0.0,0.740977,1.0,0.996471,0.128863,0.0,0.0
22.0,MC,5.0,3.0,2.636605,5.0,0.718292,0.0,0.0,0.726133,0.0,0.0,-0.157952,0.0,0.0,-0.057899,0.0,0.0,0.777414,1.0,0.995709,0.22435,0.0,0.0
