User_ID;Group;TryCount;AmountRightGestures;TimeNeeded;Activ_Gesture_ID;Likeliehood_CP_Gesture_ID_1;Likeliehood_MC_Gesture_ID_1;Alignment_Gesture_ID_1;Likeliehood_CP_Gesture_ID_2;Likeliehood_MC_Gesture_ID_2;Alignment_Gesture_ID_2;Likeliehood_CP_Gesture_ID_3;Likeliehood_MC_Gesture_ID_3;Alignment_Gesture_ID_3;Likeliehood_CP_Gesture_ID_4;Likeliehood_MC_Gesture_ID_4;Alignment_Gesture_ID_4;Likeliehood_CP_Gesture_ID_5;Likeliehood_MC_Gesture_ID_5;Alignment_Gesture_ID_5;Likeliehood_CP_Gesture_ID_6;Likeliehood_MC_Gesture_ID_6;Alignment_Gesture_ID_6
4.0;CP;1.0;1.0;1.932766;1.0;0.94675;1.0;0.845449;0.874213;0.0;0.0;-0.357334;0.0;0.0;0.010805;0.0;0.0;0.858073;0.0;0.0;0.502096;0.0;0.0;
4.0;CP;2.0;2.0;2.189221;1.0;0.894809;0.999997;0.932416;0.810903;0.0;0.0;-0.368045;0.0;0.0;0.017979;0.0;0.0;0.832026;0.0;0.0;0.467153;0.0;0.0;
4.0;CP;3.0;3.0;2.234169;1.0;0.918373;0.999999;0.993149;0.845169;0.0;0.0;-0.308355;0.0;0.0;0.01022;0.0;0.0;0.869338;0.0;0.0;0.48219;0.0;0.0;
4.0;CP;1.0;0.0;2.156227;2.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;1.000001;-8888.0;-888.0;0.0;-8888.0;-88888.0;
4.0;CP;2.0;0.0;2.356706;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.000001;0.999991;0.298654;0.0;0.0;0.0;
4.0;CP;3.0;1.0;2.479949;2.0;0.849947;0.0;0.0;0.861751;0.0;0.0;-0.290233;0.0;0.0;0.108992;0.0;0.0;0.832527;1.00001;0.016686;0.403247;0.0;0.0;
4.0;CP;4.0;1.0;2.24539;2.0;0.0;-888.0;-888.0;0.0;-888.0;-88888.0;0.0;-8888.0;-8888.0;0.0;-8888.0;-8888.0;0.999987;-8888.0;-888.0;0.0;-8888.0;-88888.0;
4.0;CP;5.0;1.0;2.658662;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.999987;0.999998;0.093884;0.0;0.0;0.0;
4.0;CP;6.0;2.0;2.345773;2.0;0.824427;0.0;0.0;0.836577;0.0;0.0;-0.324963;0.0;0.0;0.11785;0.0;0.0;0.804296;1.000007;0.011659;0.398215;0.0;0.0;
4.0;CP;1.0;1.0;5.395263;3.0;-0.464689;0.0;0.0;-0.495529;0.0;0.0;0.856673;0.0;0.0;-0.109601;0.0;0.0;-0.47899;0.999991;0.330131;-0.009075;0.0;0.0;
4.0;CP;2.0;2.0;5.049096;3.0;-0.428051;0.999997;0.988503;-0.455576;0.0;0.0;0.815467;0.0;0.0;-0.080442;0.0;0.0;-0.454865;0.0;0.0;0.071458;0.0;0.0;
4.0;CP;3.0;3.0;4.702678;3.0;-0.283612;0.0;0.0;-0.276866;0.0;0.0;0.931952;0.0;0.0;-0.109696;0.0;0.0;-0.281414;1.0;0.005234;-0.034385;0.0;0.0;
4.0;CP;1.0;1.0;3.272939;4.0;0.132618;0.0;0.0;0.194336;0.0;0.0;-0.160581;0.0;0.0;0.86199;1.0;0.233413;0.200881;0.0;0.0;0.413204;0.0;0.0;
4.0;CP;2.0;1.0;3.418094;4.0;0.396089;0.0;0.0;0.529032;0.0;0.0;-0.212471;0.0;0.0;0.132397;0.999991;0.761991;0.492455;0.0;0.0;-0.236302;0.0;0.0;
4.0;CP;3.0;2.0;3.139263;4.0;-0.015644;0.0;0.0;0.080003;0.0;0.0;-0.118282;0.0;0.0;0.822991;0.999999;0.20711;0.073269;0.0;0.0;0.243552;0.0;0.0;
4.0;CP;4.0;3.0;2.825918;4.0;-0.002016;0.0;0.0;0.094381;0.0;0.0;-0.000108;0.0;0.0;0.834413;0.999991;0.794444;0.030835;0.0;0.0;0.328235;0.0;0.0;
4.0;CP;1.0;0.0;1.608448;5.0;0.605563;0.0;0.0;0.506502;0.0;0.0;-0.407912;0.0;0.0;0.151085;0.0;0.0;0.668439;0.999991;0.182659;0.389743;0.0;0.0;
4.0;CP;2.0;1.0;1.876622;5.0;0.75637;0.0;0.0;0.667795;0.0;0.0;-0.427361;0.0;0.0;0.118423;0.0;0.0;0.829493;1.0;0.139553;0.355475;0.0;0.0;
4.0;CP;3.0;1.0;2.033123;5.0;0.693882;0.0;0.0;0.5937;0.0;0.0;-0.410306;0.0;0.0;0.103142;0.0;0.0;0.760634;1.0;0.119732;0.355088;0.0;0.0;
4.0;CP;4.0;2.0;2.13359;5.0;0.751054;0.0;0.0;0.680413;0.0;0.0;-0.418101;0.0;0.0;0.106141;0.0;0.0;0.823018;0.999999;0.143394;0.348596;0.0;0.0;
4.0;CP;5.0;3.0;2.100338;5.0;0.829745;0.0;0.0;0.756534;0.0;0.0;-0.36189;0.0;0.0;0.013008;0.0;0.0;0.901573;0.999999;0.04146;0.319266;0.0;0.0;
4.0;CP;1.0;1.0;4.724711;6.0;0.549727;0.0;0.0;0.420531;0.0;0.0;-0.032211;0.0;0.0;0.260598;0.0;0.0;0.419234;0.0;0.0;0.962772;1.000008;0.052163;
4.0;CP;2.0;2.0;4.512596;6.0;0.604784;0.0;0.0;0.479372;0.0;0.0;-0.019853;0.0;0.0;0.230668;0.0;0.0;0.46899;0.0;0.0;0.917915;0.999991;0.097141;
4.0;CP;3.0;3.0;4.769348;6.0;0.571249;0.0;0.0;0.452889;0.0;0.0;-0.007159;0.0;0.0;0.222326;0.0;0.0;0.440494;0.0;0.0;0.950034;1.0;0.012728;
