User_ID;Group;TryCount;AmountRightGestures;TimeNeeded;Activ_Gesture_ID;Likeliehood_CP_Gesture_ID_1;Likeliehood_MC_Gesture_ID_1;Alignment_Gesture_ID_1;Likeliehood_CP_Gesture_ID_2;Likeliehood_MC_Gesture_ID_2;Alignment_Gesture_ID_2;Likeliehood_CP_Gesture_ID_3;Likeliehood_MC_Gesture_ID_3;Alignment_Gesture_ID_3;Likeliehood_CP_Gesture_ID_4;Likeliehood_MC_Gesture_ID_4;Alignment_Gesture_ID_4;Likeliehood_CP_Gesture_ID_5;Likeliehood_MC_Gesture_ID_5;Alignment_Gesture_ID_5;Likeliehood_CP_Gesture_ID_6;Likeliehood_MC_Gesture_ID_6;Alignment_Gesture_ID_6
23.0;CP;1.0;1.0;2.357202;1.0;0.933787;1.0;0.990014;0.915206;0.0;0.0;-0.232575;0.0;0.0;0.030161;0.0;0.0;0.894161;0.0;0.0;0.456824;0.0;0.0;
23.0;CP;2.0;2.0;2.501128;1.0;0.940711;1.000001;0.992555;0.896291;0.0;0.0;-0.317915;0.0;0.0;0.019488;0.0;0.0;0.896652;0.0;0.0;0.434914;0.0;0.0;
23.0;CP;3.0;3.0;2.513998;1.0;0.927764;1.000001;0.99219;0.874989;0.0;0.0;-0.296391;0.0;0.0;0.02249;0.0;0.0;0.880292;0.0;0.0;0.456254;0.0;0.0;
23.0;CP;1.0;1.0;2.310501;2.0;0.866086;0.0;0.0;0.886286;0.0;0.0;-0.198192;0.0;0.0;0.0808;0.0;0.0;0.866612;1.0;0.004346;0.354137;0.0;0.0;
23.0;CP;2.0;2.0;2.345627;2.0;0.874673;0.0;0.0;0.884427;0.0;0.0;-0.242798;0.0;0.0;0.081362;0.0;0.0;0.870989;1.0;0.004576;0.369817;0.0;0.0;
23.0;CP;3.0;3.0;2.479845;2.0;0.867192;0.0;0.0;0.887577;0.0;0.0;-0.248293;0.0;0.0;0.093415;0.0;0.0;0.862605;0.999999;0.023623;0.345837;0.0;0.0;
23.0;CP;1.0;1.0;6.601391;3.0;-0.300514;0.0;0.0;-0.32614;0.0;0.0;0.927452;0.0;0.0;-0.087168;0.0;0.0;-0.319871;1.000002;0.027652;0.041187;0.0;0.0;
23.0;CP;2.0;2.0;7.17166;3.0;-0.286873;0.0;0.0;-0.276936;0.0;0.0;0.954181;1.000001;0.004511;-0.122109;0.0;0.0;-0.254474;0.0;0.0;-0.09623;0.0;0.0;
23.0;CP;3.0;3.0;7.619524;3.0;-0.295572;0.0;0.0;-0.291021;0.0;0.0;0.934067;1.0;0.004329;-0.078489;0.0;0.0;-0.286482;0.0;0.0;-0.046342;0.0;0.0;
23.0;CP;1.0;1.0;6.298835;4.0;0.144289;0.0;0.0;0.18578;0.0;0.0;-0.041989;0.0;0.0;0.816731;1.000001;0.071337;0.262956;0.0;0.0;0.462444;0.0;0.0;
23.0;CP;2.0;2.0;5.900262;4.0;0.036817;0.0;0.0;0.116302;0.0;0.0;-0.065029;0.0;0.0;0.88918;1.0;0.030243;0.18581;0.0;0.0;0.319556;0.0;0.0;
23.0;CP;3.0;3.0;6.266845;4.0;0.111105;0.0;0.0;0.200442;0.0;0.0;-0.113299;0.0;0.0;0.906696;1.000001;0.974884;0.233806;0.0;0.0;0.31979;0.0;0.0;
23.0;CP;1.0;1.0;3.06061;5.0;0.827188;0.0;0.0;0.778058;0.0;0.0;-0.258716;0.0;0.0;0.044448;0.0;0.0;0.897139;1.0;0.996685;0.389615;0.0;0.0;
23.0;CP;2.0;2.0;2.679867;5.0;0.853097;0.0;0.0;0.799837;0.0;0.0;-0.28524;0.0;0.0;0.067577;0.0;0.0;0.916423;1.000001;0.131814;0.42592;0.0;0.0;
23.0;CP;3.0;3.0;2.893265;5.0;0.901839;0.0;0.0;0.863028;0.0;0.0;-0.256064;0.0;0.0;0.063769;0.0;0.0;0.955962;0.999999;0.004599;0.441505;0.0;0.0;
23.0;CP;1.0;1.0;7.161068;6.0;0.420109;0.0;0.0;0.321686;0.0;0.0;-0.00622;0.0;0.0;0.334693;0.0;0.0;0.351874;0.0;0.0;0.94146;0.999999;0.061152;
23.0;CP;2.0;2.0;6.66954;6.0;0.54879;0.0;0.0;0.432986;0.0;0.0;-0.078707;0.0;0.0;0.319557;0.0;0.0;0.452119;0.0;0.0;0.95988;0.999991;0.126231;
23.0;CP;3.0;3.0;6.356382;6.0;0.478936;0.0;0.0;0.371318;0.0;0.0;-0.074506;0.0;0.0;0.282953;0.0;0.0;0.385694;0.0;0.0;0.942147;1.0;0.00198;
