User_ID;Group;TryCount;AmountRightGestures;TimeNeeded;Activ_Gesture_ID;Likeliehood_CP_Gesture_ID_1;Likeliehood_MC_Gesture_ID_1;Alignment_Gesture_ID_1;Likeliehood_CP_Gesture_ID_2;Likeliehood_MC_Gesture_ID_2;Alignment_Gesture_ID_2;Likeliehood_CP_Gesture_ID_3;Likeliehood_MC_Gesture_ID_3;Alignment_Gesture_ID_3;Likeliehood_CP_Gesture_ID_4;Likeliehood_MC_Gesture_ID_4;Alignment_Gesture_ID_4;Likeliehood_CP_Gesture_ID_5;Likeliehood_MC_Gesture_ID_5;Alignment_Gesture_ID_5;Likeliehood_CP_Gesture_ID_6;Likeliehood_MC_Gesture_ID_6;Alignment_Gesture_ID_6
1.0;CP;1.0;1.0;2.155965;1.0;0.830897;1.0;0.991531;0.748185;0.0;0.0;-0.267742;0.0;0.0;0.010224;0.0;0.0;0.787597;0.0;0.0;0.485931;0.0;0.0;
1.0;CP;2.0;1.0;2.400344;1.0;0.771312;0.0;0.0;0.72795;0.0;0.0;-0.09363;0.0;0.0;0.004513;0.0;0.0;0.761761;1.0;0.021254;0.458053;0.0;0.0;
1.0;CP;3.0;1.0;2.781559;1.0;0.694757;0.0;0.0;0.664882;0.0;0.0;-0.086135;0.0;0.0;0.00494;0.0;0.0;0.69123;1.0;0.160228;0.414821;0.0;0.0;
1.0;CP;4.0;2.0;2.591558;1.0;0.935262;0.0;0.0;0.873094;0.0;0.0;-0.384428;0.0;0.0;0.032459;0.0;0.0;0.897352;1.0;0.136776;0.433035;0.0;0.0;
1.0;CP;5.0;3.0;2.703188;1.0;0.958746;0.0;0.0;0.908651;0.0;0.0;-0.2916;0.0;0.0;0.010144;0.0;0.0;0.907594;0.0;0.0;0.466848;1.0;0.03746;
1.0;CP;1.0;1.0;2.636139;2.0;0.817577;0.0;0.0;0.858133;0.0;0.0;-0.272466;0.0;0.0;0.100704;0.0;0.0;0.785165;0.999991;0.539532;0.371174;0.0;0.0;
1.0;CP;2.0;2.0;2.457495;2.0;0.784913;0.0;0.0;0.847251;1.000001;0.023554;-0.230395;0.0;0.0;0.115876;0.0;0.0;0.76132;0.0;0.0;0.337238;0.0;0.0;
1.0;CP;3.0;2.0;2.390506;2.0;0.738045;0.0;0.0;0.79804;1.000001;0.782296;-0.178541;0.0;0.0;0.114033;0.0;0.0;0.747819;0.0;0.0;0.310625;0.0;0.0;
1.0;CP;4.0;3.0;2.010646;2.0;0.804868;0.0;0.0;0.886347;0.0;0.0;-0.157614;0.0;0.0;0.106023;0.0;0.0;0.795412;1.0;0.034376;0.307703;0.0;0.0;
1.0;CP;1.0;0.0;5.562604;3.0;-0.327836;0.0;0.0;-0.44632;0.0;0.0;0.003793;0.0;0.0;0.079984;0.0;0.0;-0.478575;0.0;0.0;0.056019;1.0;0.001429;
1.0;CP;2.0;0.0;1.485789;3.0;0.385269;0.0;0.0;0.320779;0.0;0.0;0.051027;0.0;0.0;0.010987;1.000001;0.202592;0.202546;0.0;0.0;0.36232;0.0;0.0;
1.0;CP;3.0;0.0;7.271733;3.0;-0.482386;0.0;0.0;-0.455183;0.0;0.0;0.70277;0.0;0.0;-0.233488;1.000001;0.229338;-0.38339;0.0;0.0;-0.32524;0.0;0.0;
1.0;CP;4.0;0.0;7.091094;3.0;-0.462692;0.0;0.0;-0.443181;0.0;0.0;0.725219;0.999999;0.653507;-0.304472;0.0;0.0;-0.384964;0.0;0.0;-0.323075;0.0;0.0;
1.0;CP;5.0;0.0;0.055369;3.0;0.0;0.246068;0.020736;0.0;0.252653;0.02449;0.0;0.064087;0.002109;0.0;0.138449;0.008047;0.0;0.227507;0.014329;0.0;0.071236;0.001456;
1.0;CP;6.0;0.0;7.930902;3.0;-0.476618;0.0;0.0;-0.44612;0.0;0.0;0.773024;1.000001;0.672663;-0.240747;0.0;0.0;-0.388622;0.0;0.0;-0.356509;0.0;0.0;
1.0;CP;1.0;1.0;6.545987;4.0;0.037766;0.0;0.0;0.123382;0.0;0.0;-0.010071;0.0;0.0;0.866786;1.0;0.197472;0.022239;0.0;0.0;0.297613;0.0;0.0;
1.0;CP;2.0;1.0;0.100946;4.0;0.0;0.073067;0.007478;0.0;0.083523;0.010692;0.0;0.048814;0.002259;0.0;0.316181;0.021938;0.0;0.321785;0.019082;0.0;0.156629;0.00442;
1.0;CP;3.0;2.0;6.310764;4.0;0.033776;0.0;0.0;0.113045;0.0;0.0;-0.006265;0.0;0.0;0.890443;1.0;0.195059;0.001813;0.0;0.0;0.346442;0.0;0.0;
