User_ID;Group;TryCount;AmountRightGestures;TimeNeeded;Activ_Gesture_ID;Likeliehood_CP_Gesture_ID_1;Likeliehood_MC_Gesture_ID_1;Alignment_Gesture_ID_1;Likeliehood_CP_Gesture_ID_2;Likeliehood_MC_Gesture_ID_2;Alignment_Gesture_ID_2;Likeliehood_CP_Gesture_ID_3;Likeliehood_MC_Gesture_ID_3;Alignment_Gesture_ID_3;Likeliehood_CP_Gesture_ID_4;Likeliehood_MC_Gesture_ID_4;Alignment_Gesture_ID_4;Likeliehood_CP_Gesture_ID_5;Likeliehood_MC_Gesture_ID_5;Alignment_Gesture_ID_5;Likeliehood_CP_Gesture_ID_6;Likeliehood_MC_Gesture_ID_6;Alignment_Gesture_ID_6
7.0;CP;1.0;1.0;2.223029;1.0;0.909774;1.000001;0.99295;0.903698;0.0;0.0;-0.192812;0.0;0.0;0.01848;0.0;0.0;0.887921;0.0;0.0;0.425268;0.0;0.0;
7.0;CP;2.0;2.0;1.597481;1.0;0.9586;0.0;0.0;0.924218;0.0;0.0;-0.342238;0.0;0.0;0.028574;0.0;0.0;0.937835;1.000001;0.010856;0.4094;0.0;0.0;
7.0;CP;3.0;3.0;1.485825;1.0;0.952603;0.0;0.0;0.937493;0.0;0.0;-0.276825;0.0;0.0;0.022248;0.0;0.0;0.913403;0.999991;0.066477;0.457281;0.0;0.0;
7.0;CP;1.0;1.0;1.82096;2.0;0.855014;0.0;0.0;0.918527;0.0;0.0;-0.263962;0.0;0.0;0.094438;0.0;0.0;0.876084;0.999999;0.006557;0.238774;0.0;0.0;
7.0;CP;2.0;2.0;1.463345;2.0;0.848983;0.0;0.0;0.892068;0.0;0.0;-0.470009;0.0;0.0;0.113748;0.0;0.0;0.830866;1.0;0.132941;0.273917;0.0;0.0;
7.0;CP;3.0;3.0;1.284886;2.0;0.823571;0.0;0.0;0.851964;0.0;0.0;-0.541016;0.0;0.0;0.106933;0.0;0.0;0.780785;0.999992;0.148847;0.278883;0.0;0.0;
7.0;CP;1.0;1.0;3.753617;3.0;-0.438698;0.999994;0.808412;-0.423733;0.0;0.0;0.823182;0.0;0.0;-0.092791;0.0;0.0;-0.403518;0.0;0.0;-0.019996;0.0;0.0;
7.0;CP;2.0;2.0;3.798268;3.0;-0.386995;0.0;0.0;-0.364076;0.0;0.0;0.898939;0.0;0.0;-0.146128;0.0;0.0;-0.317442;1.00001;0.192996;-0.119404;0.0;0.0;
7.0;CP;3.0;2.0;3.451918;3.0;-0.529375;0.0;0.0;-0.565565;0.0;0.0;0.773789;0.0;0.0;-0.001004;0.0;0.0;-0.5182;0.999999;0.060119;0.096913;0.0;0.0;
7.0;CP;4.0;3.0;3.362489;3.0;-0.32669;0.0;0.0;-0.351891;0.0;0.0;0.81911;0.999991;0.524778;-0.135224;0.0;0.0;-0.3205;0.0;0.0;0.112304;0.0;0.0;
7.0;CP;1.0;1.0;3.127588;4.0;-0.186524;0.0;0.0;-0.117216;0.0;0.0;-0.023193;0.0;0.0;0.874118;0.999991;0.607577;-0.057259;0.0;0.0;0.193861;0.0;0.0;
7.0;CP;2.0;2.0;2.826277;4.0;-0.074627;0.0;0.0;-0.02383;0.0;0.0;-0.066207;0.0;0.0;0.899308;1.0;0.184686;0.0295;0.0;0.0;0.313759;0.0;0.0;
7.0;CP;3.0;3.0;2.736779;4.0;-0.053629;0.0;0.0;0.031889;0.0;0.0;-0.147661;0.0;0.0;0.926343;0.999991;0.711777;0.046918;0.0;0.0;0.206463;0.0;0.0;
7.0;CP;1.0;0.0;2.536298;5.0;0.66958;0.0;0.0;0.678028;0.0;0.0;-0.118304;0.0;0.0;-0.103569;0.0;0.0;0.778684;1.000001;0.033511;0.183769;0.0;0.0;
7.0;CP;2.0;1.0;2.613795;5.0;0.631295;0.0;0.0;0.650324;0.0;0.0;-0.081088;0.0;0.0;-0.021856;0.0;0.0;0.809913;0.999991;0.030273;0.146709;0.0;0.0;
7.0;CP;3.0;2.0;2.736815;5.0;0.642574;0.0;0.0;0.679189;0.0;0.0;-0.106578;0.0;0.0;-0.062273;0.0;0.0;0.81837;0.999997;0.031477;0.123948;0.0;0.0;
7.0;CP;4.0;2.0;2.502282;5.0;0.569745;0.0;0.0;0.609195;0.0;0.0;-0.023628;0.0;0.0;-0.167421;0.0;0.0;0.717775;1.000007;0.030944;0.085902;0.0;0.0;
